name,rating,total_reviews,phone,address,hours_days,amenities_count,photos_count,reviews_count
THYROCARE PATHOLOGY LABORATORY,5.0,27,097675 89851,"THYROCARE PATHOLOGY LABORATORY, Dange Chowk Rd, near PRECISION SONOGRAPHY CENTRE, Hinjawadi, Pune, Hinjavadi, Maharashtra 411057",5,10,3,15
TIRUPATI PATHOLOGY LAB,4.9,125,078409 11375,"Shivshakti sadam,shop n 1 Sus nande Road shivbha, chowk, Sus, Pune, Maharashtra 411021",7,0,9,15
RUBY DIAGNOSTIC CENTRE PATHOLOGY LAB BAVDHAN PUNE,4.6,38,,"Omkar gardan chowk, near Chellaram Hospital, Patil Nagar, Bavdhan, Pune, Maharashtra 411021",7,9,4,15
Shree swami samartha diagnostic,4.0,21,070663 17311,"02, Paud Rd, opp. Kothrud, Paud Road, Bhusari Colony, Kothrud, Pune, Maharashtra 411038",0,1,5,15
Harmony Healthcare Services (Pathology Lab),4.4,43,096130 70777,"Office No 19, Bandal Capital, Bus Depo, Paud Rd, near Kothrud, Paud Road, Bharti Nagar, Kothrud, Pune, Maharashtra 411038",7,7,7,15
Blood test lab bhugaon,5.0,,,"Dnyanganga Heights, opp. Shell Petrol Pump, Bhugaon, Bavdhan, Bhukum, Bhugaon, Maharashtra 412115",7,0,4,0
Samruddha Diagnostic Center,5.0,82,073509 32070,"Hirabaug Chauk, Hirabaug Bussiness Center ( HBC, Tilak Rd, Shukrawar Peth, Pune, Maharashtra 411002",7,6,20,15
General diagnostic -PJ LAB,,,077559 30875,"Tower-5, Shop no 4 A Skyi Songbird comercial complex bhugaon pune Oposite, Bhugaon, Maharashtra 412115",7,0,3,0
Sarvadnya diagnostics Center,5.0,36,,"sarvadnya digonstic centar, Pirangut, Maharashtra 412115",7,0,8,15
PGH PATHOLOGY LABORATORY,4.9,7,077749 66481,"Pirangut, Maharashtra 412115",0,3,8,2
Rudra Pathology Lab,4.8,116,099883 35363,"Devi Temple, Rakshe complex, near Maan, Maan, Pune, Maharashtra 411057",7,4,8,15
